FullAddress,Steet,City,State,Zipcode,Retailer,Calc_Rebate,Check_Amount,AddressFull,Rebate_Status,RebateType,Site_Type
"111 CHURCH ST, LOS GATOS, CA 95032",111 CHURCH ST,LOS GATOS,CA,95032,SJ Water Co.,"$1,710.00 ",,111 CHURCH ST LG 95032,Appl. Received Complete,L,Institutional
"1759 VALPICO DR, SAN JOSE, CA 95124",1759 VALPICO DR,SAN JOSE,CA,95124,SJ Water Co.,$303.85 ,$303.85 ,1759 VALPICO DR SJ 95124,Check Issued,IW,Single Family
"20701 SEVILLA LN, SARATOGA, CA 95070",20701 SEVILLA LN,SARATOGA,CA,95070,SJ Water Co.,$512.92 ,$512.92 ,20701 SEVILLA LN SA 95070,Check Issued,IW,Single Family
"574 BELFAST CT, SUNNYVALE, CA 94087",574 BELFAST CT,SUNNYVALE,CA,94087,Sunnyvale,$700.00 ,,574 BELFAST CT SU 94087,Notice to Proceed Sent,IW,Single Family
"1673 SWEETBRIAR DR, SAN JOSE, CA 95125",1673 SWEETBRIAR DR,SAN JOSE,CA,95125,SJ Water Co.,$350.00 ,,1673 SWEETBRIAR DR SJ 95125,Notice to Proceed Sent,IW,Single Family
"5343 SILVER POINT WY, SAN JOSE, CA 95138",5343 SILVER POINT WY,SAN JOSE,CA,95138,SJ Muni,$534.50 ,,5343 SILVER POINT WY SJ 95138,Notice to Proceed Sent,DIW,Single Family
"1797 AUSTIN AV, LOS ALTOS, CA 94024",1797 AUSTIN AV,LOS ALTOS,CA,94024,California Water,$0.00 ,,1797 AUSTIN AV LA 94024,Appl. Received Complete,LDI,Single Family
"3010 CANOAS VILLA CT, SAN JOSE, CA 95136",3010 CANOAS VILLA CT,SAN JOSE,CA,95136,SJ Water Co.,$350.00 ,,3010 CANOAS VILLA CT SJ 95136,Notice to Proceed Sent,IW,Single Family
"955 ADDISON AV, PALO ALTO, CA 94301",955 ADDISON AV,PALO ALTO,CA,94301,Palo Alto,$253.85 ,$253.85 ,955 ADDISON AV PA 94301,Check Issued,W,Single Family
"4235 PARTRIDGE DR, SAN JOSE, CA 95121",4235 PARTRIDGE DR,SAN JOSE,CA,95121,SJ Muni,"$2,601.00 ",,4235 PARTRIDGE DR SJ 95121,Notice to Proceed Sent,LIW,Single Family
"6656 CHARTER OAK PL, SAN JOSE, CA 95120",6656 CHARTER OAK PL,SAN JOSE,CA,95120,SJ Water Co.,$966.00 ,,6656 CHARTER OAK PL SJ 95120,Notice to Proceed Sent,L,Single Family
"4662 CORRIDA CL, SAN JOSE, CA 95129",4662 CORRIDA CL,SAN JOSE,CA,95129,SJ Water Co.,$350.00 ,,4662 CORRIDA CL SJ 95129,Notice to Proceed Sent,IW,Single Family
"1670 HUSTED AV, SAN JOSE, CA 95125",1670 HUSTED AV,SAN JOSE,CA,95125,SJ Water Co.,$256.38 ,,1670 HUSTED AV SJ 95125,Ready to be Paid,IW,Single Family
"3784 GROVE AV, PALO ALTO, CA 94303",3784 GROVE AV,PALO ALTO,CA,94303,Palo Alto,$589.00 ,$589.00 ,3784 GROVE AV PA 94303,Check Issued,W,Single Family
"1103 SAGARDIA WY, GILROY, CA 95020",1103 SAGARDIA WY,GILROY,CA,95020,Gilroy,$279.99 ,$279.99 ,1103 SAGARDIA WY GI 95020,Check Issued,IW,Single Family
"903 LOYOLA DR, LOS ALTOS, CA 94024",903 LOYOLA DR,LOS ALTOS,CA,94024,California Water,$350.00 ,,903 LOYOLA DR LA 94024,Notice to Proceed Sent,IW,Single Family
"3612 ARBUTUS AV, PALO ALTO, CA 94303",3612 ARBUTUS AV,PALO ALTO,CA,94303,Palo Alto,$350.00 ,,3612 ARBUTUS AV PA 94303,Notice to Proceed Sent,IW,Single Family
"18275 SERENE DR, MORGAN HILL, CA 95037",18275 SERENE DR,MORGAN HILL,CA,95037,Morgan Hill,"$3,400.00 ",,18275 SERENE DR MH 95037,Notice to Proceed Sent,IW,Commercial
"2375 BENTON ST, SANTA CLARA, CA 95050",2375 BENTON ST,SANTA CLARA,CA,95050,Santa Clara,$300.00 ,,2375 BENTON ST SC 95050,Notice to Proceed Sent,R,Single Family
"225 LINCOLN AV, SAN JOSE, CA 95126",225 LINCOLN AV,SAN JOSE,CA,95126,SJ Water Co.,"$2,000.00 ",,225 LINCOLN AV SJ 95126,Appl. Received Complete,L,Single Family
"13888 LYNDE AV, SARATOGA, CA 95070",13888 LYNDE AV,SARATOGA,CA,95070,SJ Water Co.,$206.26 ,$206.26 ,13888 LYNDE AV SA 95070,Check Issued,IW,Single Family
"1632 MCGINNESS AV, SAN JOSE, CA 95127",1632 MCGINNESS AV,SAN JOSE,CA,95127,SJ Water Co.,$0.00 ,,1632 MCGINNESS AV SJ 95127,Appl. Received Complete,L,Single Family
"20804 PEPPER TREE LN, CUPERTINO, CA 95014",20804 PEPPER TREE LN,CUPERTINO,CA,95014,California Water,$446.00 ,$446.00 ,20804 PEPPER TREE LN CU 95014,Check Issued,L,Single Family
"3563 IRLANDA WY, SAN JOSE, CA 95124",3563 IRLANDA WY,SAN JOSE,CA,95124,SJ Water Co.,$0.00 ,,3563 IRLANDA WY SJ 95124,Notice to Proceed Sent,I,Single Family
"1039 RUBIS DR, SUNNYVALE, CA 94087",1039 RUBIS DR,SUNNYVALE,CA,94087,Sunnyvale,$237.48 ,,1039 RUBIS DR SU 94087,Ready to be Paid,IW,Single Family
"1510 MALLARD WY, SUNNYVALE, CA 94087",1510 MALLARD WY,SUNNYVALE,CA,94087,Sunnyvale,$291.00 ,,1510 MALLARD WY SU 94087,Notice to Proceed Sent,L,Single Family
"6482 MOJAVE DR, SAN JOSE, CA 95120",6482 MOJAVE DR,SAN JOSE,CA,95120,SJ Water Co.,$249.99 ,$249.99 ,6482 MOJAVE DR SJ 95120,Check Issued,IW,Single Family
"761 MANZANITA AV, SUNNYVALE, CA 94086",761 MANZANITA AV,SUNNYVALE,CA,94086,Sunnyvale,$0.00 ,,761 MANZANITA AV SU 94086,Appl. Received Complete,L,Single Family
"3339 BROWNING AV, SAN JOSE, CA 95124",3339 BROWNING AV,SAN JOSE,CA,95124,SJ Water Co.,$350.00 ,,3339 BROWNING AV SJ 95124,Notice to Proceed Sent,IW,Single Family
"1841 EVERGLADES DR, MILPITAS, CA 95035",1841 EVERGLADES DR,MILPITAS,CA,95035,Milpitas,$350.00 ,,1841 EVERGLADES DR MI 95035,Notice to Proceed Sent,IW,Single Family
"286 PETTIS AV, MOUNTAIN VIEW, CA 94041",286 PETTIS AV,MOUNTAIN VIEW,CA,94041,Mountain View,"$1,350.00 ",,286 PETTIS AV MV 94041,Notice to Proceed Sent,IW,Single Family
"1179 NIKETTE WY, SAN JOSE, CA 95120",1179 NIKETTE WY,SAN JOSE,CA,95120,SJ Water Co.,$350.00 ,,1179 NIKETTE WY SJ 95120,Notice to Proceed Sent,IW,Single Family
"319 E MCKINLEY AV, SUNNYVALE, CA 94086",319 E MCKINLEY AV,SUNNYVALE,CA,94086,Sunnyvale,"$1,846.00 ",,319 E MCKINLEY AV SU 94086,Appl. Received Complete,LIW,MFD
"810 BUCKWOOD CT, SAN JOSE, CA 95120",810 BUCKWOOD CT,SAN JOSE,CA,95120,SJ Water Co.,$225.00 ,,810 BUCKWOOD CT SJ 95120,Appl. Received Complete,LDI,Single Family
"466 MURIEL CT, SANTA CLARA, CA 95051",466 MURIEL CT,SANTA CLARA,CA,95051,Santa Clara,"$1,350.00 ",,466 MURIEL CT SC 95051,Notice to Proceed Sent,IW,Single Family
"932 TULANE DR, MOUNTAIN VIEW, CA 94040",932 TULANE DR,MOUNTAIN VIEW,CA,94040,Mountain View,$279.00 ,$279.00 ,932 TULANE DR MV 94040,Check Issued,IW,Single Family
"752 DAILEY AV, SAN JOSE, CA 95123",752 DAILEY AV,SAN JOSE,CA,95123,SJ Water Co.,$252.65 ,$252.65 ,752 DAILEY AV SJ 95123,Check Issued,IW,Single Family
"51 WELKER CT, CAMPBELL, CA 95008",51 WELKER CT,CAMPBELL,CA,95008,SJ Water Co.,$134.99 ,$134.99 ,51 WELKER CT CA 95008,Check Issued,IW,Single Family
"6049 MIWOK DR, SAN JOSE, CA 95123",6049 MIWOK DR,SAN JOSE,CA,95123,SJ Water Co.,$350.00 ,,6049 MIWOK DR SJ 95123,Notice to Proceed Sent,IW,Single Family
"6393 NUEVA DR, SAN JOSE, CA 95119",6393 NUEVA DR,SAN JOSE,CA,95119,Great Oaks,$198.72 ,$198.72 ,6393 NUEVA DR SJ 95119,Check Issued,IW,Single Family
"2872 CASTLE DR, SAN JOSE, CA 95125",2872 CASTLE DR,SAN JOSE,CA,95125,SJ Water Co.,$229.99 ,$229.99 ,2872 CASTLE DR SJ 95125,Check Issued,IW,Single Family
"223 KENSINGTON WY, LOS GATOS, CA 95032",223 KENSINGTON WY,LOS GATOS,CA,95032,SJ Water Co.,$229.99 ,$229.99 ,223 KENSINGTON WY LG 95032,Check Issued,IW,Single Family
"411 EASTER AV, MILPITAS, CA 95035",411 EASTER AV,MILPITAS,CA,95035,Milpitas,$198.39 ,$198.39 ,411 EASTER AV MI 95035,Check Issued,IW,Single Family
"15680 ROBLES DEL ORO, SARATOGA, CA 95070",15680 ROBLES DEL ORO,SARATOGA,CA,95070,SJ Water Co.,"$1,400.00 ",,15680 ROBLES DEL ORO SA 95070,Notice to Proceed Sent,IW,Single Family
"1510 DAPHNE DR, SAN JOSE, CA 95129",1510 DAPHNE DR,SAN JOSE,CA,95129,SJ Water Co.,$148.89 ,$148.89 ,1510 DAPHNE DR SJ 95129,Check Issued,IW,Single Family
"4495 STRAWBERRY PARK DR, SAN JOSE, CA 95129",4495 STRAWBERRY PARK DR,SAN JOSE,CA,95129,SJ Water Co.,$0.00 ,,4495 STRAWBERRY PARK DR SJ 95129,Site is Disqualified,,Single Family
"186 DALMA DR, MOUNTAIN VIEW, CA 94041",186 DALMA DR,MOUNTAIN VIEW,CA,94041,Mountain View,$0.00 ,,186 DALMA DR MV 94041,Post Insp. Approved,L,Single Family
"4035 SOELRO CT, SAN JOSE, CA 95127",4035 SOELRO CT,SAN JOSE,CA,95127,SJ Water Co.,"$1,350.00 ",,4035 SOELRO CT SJ 95127,Notice to Proceed Sent,IW,Single Family
"1654 TUPOLO DR, SAN JOSE, CA 95124",1654 TUPOLO DR,SAN JOSE,CA,95124,SJ Water Co.,"$1,146.00 ",,1654 TUPOLO DR SJ 95124,Appl. Received Complete,L,Single Family
"601 MANZANO ST, MILPITAS, CA 95035",601 MANZANO ST,MILPITAS,CA,95035,Milpitas,$100.00 ,$100.00 ,601 MANZANO ST MI 95035,Check Issued,I,Single Family
"326 CLARENCE AV, SUNNYVALE, CA 94086",326 CLARENCE AV,SUNNYVALE,CA,94086,Sunnyvale,$350.00 ,,326 CLARENCE AV SU 94086,Notice to Proceed Sent,IW,Single Family
"943 BLOSSOM DR, SANTA CLARA, CA 95050",943 BLOSSOM DR,SANTA CLARA,CA,95050,Santa Clara,$199.00 ,,943 BLOSSOM DR SC 95050,Post Insp. Approved,IW,Single Family
"5033 TISDALE WY, SAN JOSE, CA 95130",5033 TISDALE WY,SAN JOSE,CA,95130,SJ Water Co.,$350.00 ,,5033 TISDALE WY SJ 95130,Notice to Proceed Sent,IW,Single Family
"5833 CAPILANO DR, SAN JOSE, CA 95138",5833 CAPILANO DR,SAN JOSE,CA,95138,SJ Muni,$217.40 ,$217.40 ,5833 CAPILANO DR SJ 95138,Check Issued,IW,Single Family
"12414 WOODSIDE DR, SARATOGA, CA 95070",12414 WOODSIDE DR,SARATOGA,CA,95070,SJ Water Co.,"$1,286.50 ",,12414 WOODSIDE DR SA 95070,Ready to be Paid,IW,Single Family
"22347 STEVENS CREEK BL, CUPERTINO, CA 95014",22347 STEVENS CREEK BL,CUPERTINO,CA,95014,SJ Water Co.,"$3,000.00 ",,22347 STEVENS CREEK BL CU 95014,Notice to Proceed Sent,L,Single Family
"1018 BRACKETT WY, SANTA CLARA, CA 95054",1018 BRACKETT WY,SANTA CLARA,CA,95054,Santa Clara,$350.00 ,,1018 BRACKETT WY SC 95054,Notice to Proceed Sent,IW,Single Family
"2491 JOHNSON PL, SANTA CLARA, CA 95050",2491 JOHNSON PL,SANTA CLARA,CA,95050,Santa Clara,$254.98 ,$254.98 ,2491 JOHNSON PL SC 95050,Check Issued,IW,Single Family
"1009 BURLWOOD DR, SAN JOSE, CA 95120",1009 BURLWOOD DR,SAN JOSE,CA,95120,SJ Water Co.,$249.99 ,$249.99 ,1009 BURLWOOD DR SJ 95120,Check Issued,IW,Single Family
"22341 MCCLELLAN RD, CUPERTINO, CA 95014",22341 MCCLELLAN RD,CUPERTINO,CA,95014,SJ Water Co.,$720.00 ,,22341 MCCLELLAN RD CU 95014,Notice to Proceed Sent,L,Single Family
"1560 KENSINGTON CL, LOS ALTOS, CA 94024",1560 KENSINGTON CL,LOS ALTOS,CA,94024,California Water,$226.38 ,$226.38 ,1560 KENSINGTON CL LA 94024,Check Issued,IW,Single Family
"701 MARION AV, PALO ALTO, CA 94303",701 MARION AV,PALO ALTO,CA,94303,Palo Alto,$272.24 ,$272.24 ,701 MARION AV PA 94303,Check Issued,IW,Single Family
"1746 PILGRIM AV, MOUNTAIN VIEW, CA 94040",1746 PILGRIM AV,MOUNTAIN VIEW,CA,94040,Mountain View,$350.00 ,,1746 PILGRIM AV MV 94040,Notice to Proceed Sent,IW,Single Family
"785 MAYFIELD AV, STANFORD, CA 94305",785 MAYFIELD AV,STANFORD,CA,94305,Stanford Utilities,"$1,657.00 ",,785 MAYFIELD AV ST 94305,Notice to Proceed Sent,L,Single Family
"630 CAMINO DR, SANTA CLARA, CA 95050",630 CAMINO DR,SANTA CLARA,CA,95050,Santa Clara,$117.68 ,$117.68 ,630 CAMINO DR SC 95050,Check Issued,IW,Single Family
"5197 TISDALE WY, SAN JOSE, CA 95130",5197 TISDALE WY,SAN JOSE,CA,95130,SJ Water Co.,$249.99 ,$249.99 ,5197 TISDALE WY SJ 95130,Check Issued,IW,Single Family
"213 N CRAGMONT AV, SAN JOSE, CA 95127",213 N CRAGMONT AV,SAN JOSE,CA,95127,SJ Water Co.,$718.00 ,,213 N CRAGMONT AV SJ 95127,Appl. Received Complete,L,Single Family
"388 CAPELLA WY, MILPITAS, CA 95035",388 CAPELLA WY,MILPITAS,CA,95035,Milpitas,$270.00 ,$270.00 ,388 CAPELLA WY MI 95035,Check Issued,IW,Single Family
"305 CRESTRIDGE CT, SAN JOSE, CA 95138",305 CRESTRIDGE CT,SAN JOSE,CA,95138,Great Oaks,$19.90 ,$19.90 ,305 CRESTRIDGE CT SJ 95138,Check Issued,I,Single Family
"3140 LINKFIELD WY, SAN JOSE, CA 95135",3140 LINKFIELD WY,SAN JOSE,CA,95135,SJ Muni,"$3,000.00 ",,3140 LINKFIELD WY SJ 95135,Appl. Received Complete,LIW,Single Family
"755 LOIS AV, SUNNYVALE, CA 94087",755 LOIS AV,SUNNYVALE,CA,94087,Sunnyvale,$289.40 ,$289.40 ,755 LOIS AV SU 94087,Check Issued,IW,Single Family
"1939 NEWCASTLE DR, LOS ALTOS, CA 94024",1939 NEWCASTLE DR,LOS ALTOS,CA,94024,California Water,$440.48 ,$440.48 ,1939 NEWCASTLE DR LA 94024,Check Issued,IW,Single Family
"20804 PEPPER TREE LN, CUPERTINO, CA 95014",20804 PEPPER TREE LN,CUPERTINO,CA,95014,California Water,"$1,242.00 ","$1,242.00 ",20804 PEPPER TREE LN CU 95014,Check Issued,L,Single Family
"5268 ROXANNE DR, SAN JOSE, CA 95124",5268 ROXANNE DR,SAN JOSE,CA,95124,SJ Water Co.,$212.40 ,$212.40 ,5268 ROXANNE DR SJ 95124,Check Issued,IW,Single Family
"380 HATCHER CT, CAMPBELL, CA 95008",380 HATCHER CT,CAMPBELL,CA,95008,SJ Water Co.,$218.61 ,$218.61 ,380 HATCHER CT CA 95008,Check Issued,IW,Single Family
"2803 COZUMEL CL, MOUNTAIN VIEW, CA 95051",2803 COZUMEL CL,MOUNTAIN VIEW,CA,95051,Santa Clara,$530.82 ,$530.82 ,2803 COZUMEL CL SC 95051,Check Issued,IW,Single Family
"19131 BELLWOOD DR, SARATOGA, CA 95070",19131 BELLWOOD DR,SARATOGA,CA,95070,SJ Water Co.,$700.00 ,,19131 BELLWOOD DR SA 95070,Notice to Proceed Sent,IW,Single Family
"3488 VISTAMONT DR, SAN JOSE, CA 95118",3488 VISTAMONT DR,SAN JOSE,CA,95118,SJ Water Co.,$984.00 ,,3488 VISTAMONT DR SJ 95118,Appl. Received Complete,L,Single Family
"1866 CAMDEN AV, SAN JOSE, CA 95124",1866 CAMDEN AV,SAN JOSE,CA,95124,SJ Water Co.,"$7,068.00 ",,1866 CAMDEN AV SJ 95124,Post Insp. Approved,L,Commercial
"1633 ADRIEN DR, CAMPBELL, CA 95008",1633 ADRIEN DR,CAMPBELL,CA,95008,SJ Water Co.,$350.00 ,,1633 ADRIEN DR CA 95008,Notice to Proceed Sent,IW,Single Family
"1293 ASHCROFT LN, SAN JOSE, CA 95118",1293 ASHCROFT LN,SAN JOSE,CA,95118,SJ Water Co.,$524.68 ,$524.68 ,1293 ASHCROFT LN SJ 95118,Check Issued,IW,Single Family
"420 TERRACE DR, SAN JOSE, CA 95112",420 TERRACE DR,SAN JOSE,CA,95112,SJ Water Co.,$300.00 ,$300.00 ,420 TERRACE DR SJ 95112,Check Issued,IW,Single Family
"1158 N HILLVIEW DR, MILPITAS, CA 95035",1158 N HILLVIEW DR,MILPITAS,CA,95035,Milpitas,$119.25 ,$119.25 ,1158 N HILLVIEW DR MI 95035,Check Issued,IW,Single Family
"15505 PALOS VERDES DR, MONTE SERENO, CA 95030",15505 PALOS VERDES DR,MONTE SERENO,CA,95030,SJ Water Co.,$0.00 ,,15505 PALOS VERDES DR MS 95030,Appl. Received Complete,L,Single Family
"4260 RONDEAU DR, SAN JOSE, CA 95124",4260 RONDEAU DR,SAN JOSE,CA,95124,SJ Water Co.,$237.00 ,$237.00 ,4260 RONDEAU DR SJ 95124,Check Issued,W,Single Family
"6332 PANCHO CT, SAN JOSE, CA 95123",6332 PANCHO CT,SAN JOSE,CA,95123,Great Oaks,$206.93 ,$206.93 ,6332 PANCHO CT SJ 95123,Check Issued,IW,Single Family
"987 ARNOLD WY, SAN JOSE, CA 95128",987 ARNOLD WY,SAN JOSE,CA,95128,SJ Water Co.,"$2,000.00 ",,987 ARNOLD WY SJ 95128,Post Insp. Scheduled,IW,Single Family
"14740 CODY LN, SARATOGA, CA 95070",14740 CODY LN,SARATOGA,CA,95070,SJ Water Co.,$288.81 ,,14740 CODY LN SA 95070,Post Insp. Approved,IW,Single Family
"3132 MERIDIAN AV, SAN JOSE, CA 95124",3132 MERIDIAN AV,SAN JOSE,CA,95124,SJ Water Co.,"$2,000.00 ",,3132 MERIDIAN AV SJ 95124,Appl. Received Complete,LIW,Single Family
"204 FORRESTER RD, LOS GATOS, CA 95032",204 FORRESTER RD,LOS GATOS,CA,95032,SJ Water Co.,$518.94 ,$518.94 ,204 FORRESTER RD LG 95032,Check Issued,W,Single Family
"734 GLENBURRY WY, SAN JOSE, CA 95123",734 GLENBURRY WY,SAN JOSE,CA,95123,SJ Water Co.,"$1,334.00 ",,734 GLENBURRY WY SJ 95123,Notice to Proceed Sent,L,Single Family
"1086 SUNSET DR, SANTA CLARA, CA 95050",1086 SUNSET DR,SANTA CLARA,CA,95050,Santa Clara,$350.00 ,,1086 SUNSET DR SC 95050,Notice to Proceed Sent,IW,Single Family
"1120 MORSE ST, SAN JOSE, CA 95126",1120 MORSE ST,SAN JOSE,CA,95126,SJ Water Co.,$252.74 ,$252.74 ,1120 MORSE ST SJ 95126,Check Issued,IW,Single Family
"308 BELBLOSSOM WY, LOS GATOS, CA 95032",308 BELBLOSSOM WY,LOS GATOS,CA,95032,SJ Water Co.,"$1,149.50 ",,308 BELBLOSSOM WY LG 95032,Notice to Proceed Sent,DIW,Single Family
"1619 KITCHENER DR, SUNNYVALE, CA 94087",1619 KITCHENER DR,SUNNYVALE,CA,94087,Sunnyvale,"$1,100.00 ","$1,100.00 ",1619 KITCHENER DR SU 94087,Check Issued,L,Single Family
"1492 FOXWORTHY AV, SAN JOSE, CA 95118",1492 FOXWORTHY AV,SAN JOSE,CA,95118,SJ Water Co.,$250.18 ,$250.18 ,1492 FOXWORTHY AV SJ 95118,Check Issued,IW,MFD
"1612 WHEATLEY PL, SAN JOSE, CA 95121",1612 WHEATLEY PL,SAN JOSE,CA,95121,SJ Muni,$960.00 ,,1612 WHEATLEY PL SJ 95121,Notice to Proceed Sent,L,Single Family
"1448 NEWPORT AV, SAN JOSE, CA 95125",1448 NEWPORT AV,SAN JOSE,CA,95125,SJ Water Co.,$517.76 ,$517.76 ,1448 NEWPORT AV SJ 95125,Check Issued,IW,Single Family
"3592 JUDRO WY, SAN JOSE, CA 95117",3592 JUDRO WY,SAN JOSE,CA,95117,SJ Water Co.,$599.00 ,,3592 JUDRO WY SJ 95117,Appl. Received Complete,L,Single Family
"510 SAN FELICIA WY, LOS ALTOS, CA 94022",510 SAN FELICIA WY,LOS ALTOS,CA,94022,California Water,$229.99 ,$229.99 ,510 SAN FELICIA WY LA 94022,Check Issued,IW,Single Family
"3300 CANADA RD, GILROY, CA 95020",3300 CANADA RD,GILROY,CA,95020,SCVWD,"$1,223.00 ",,3300 CANADA RD GI 95020,Appl. Received Complete,LD,Single Family
